"subject","content","spam"
"cruise winner!","Hello! You just won a cruise!","spam"
"BANK WARNING","This is your bank, warning you that someone has tried to access your account","spam"
"RE: AI meeting","The agenda for our company meeting is AI and machine learning. Please be on time. Thanks!","not_spam"
"Meeting","The meeting will take place in a few hours, please review the agenda","not_spam"
"Tuesday meeting","The meeting on tuesday should go ahead, I will be out so remember to take notes","not_spam"
"Form","Hello, can you fill out this form? It is required by the department manager. Thanks","not_spam"
"RE: Form","Just a reminder, the form needs to be filled out and it is required by the department manager, thanks.","not_spam"
"Request For Information","Hi all, we are asking all staff in the department to kindly fill out the attached form and send it to us by end of week. Thank you!","not_spam"
"Meeting","Let's setup a meeting for tomorrow, make sure to review the agenda.","not_spam"
"Offer for a business collaboration","Hi, My name is Mike and I work at an online Marketing Agency. I discovered your site few weeks ago and I enjoyed reading your online content. One of our valued clients has a site in a similar niche, and it immediately sprung to mind that you could both prosper by establishing a business partnership. Sounds interesting? If you would like to hear more about it, you can easily contact me with an email reply in the first instance. I look forward to hearing from you. Yours Sincerely,","spam"
"Pending upgrade for your Wordpress blog","Greetings , This message regards your Optimized WordPress installation on domain : We've recently detected a new version of your wordpress theme which is now available for upgrade. We will be automatically updating your wordpress theme in 3 days.","not_spam"
"Pending upgrade for your Wordpress blog","Greetings , This message regards your Optimized WordPress installation on domain : We've recently detected a new version of your plugins which is now available for upgrade. We will be automatically updating your plugins in 3 days.","not_spam"
